[0.051s] Invoking command in '/home/orangepi/ros2_ws/build/realsense2_camera_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/orangepi/ros2_ws/build/realsense2_camera_msgs -- -j8 -l8
[0.356s] [  0%] Built target ament_cmake_python_symlink_realsense2_camera_msgs
[0.358s] [  1%] Built target realsense2_camera_msgs__cpp
[0.386s] [ 12%] Built target realsense2_camera_msgs__rosidl_generator_c
[0.438s] [ 23%] Built target realsense2_camera_msgs__rosidl_typesupport_fastrtps_cpp
[0.442s] [ 34%] Built target realsense2_camera_msgs__rosidl_typesupport_c
[0.444s] [ 45%] Built target realsense2_camera_msgs__rosidl_typesupport_introspection_cpp
[0.451s] [ 56%] Built target realsense2_camera_msgs__rosidl_typesupport_cpp
[0.452s] [ 67%] Built target realsense2_camera_msgs__rosidl_typesupport_fastrtps_c
[0.460s] [ 78%] Built target realsense2_camera_msgs__rosidl_typesupport_introspection_c
[0.543s] [ 78%] Built target realsense2_camera_msgs
[0.582s] [ 80%] Built target realsense2_camera_msgs__py
[0.675s] [ 89%] Built target realsense2_camera_msgs__rosidl_generator_py
[0.731s] running egg_info
[0.732s] writing realsense2_camera_msgs.egg-info/PKG-INFO
[0.733s] writing dependency_links to realsense2_camera_msgs.egg-info/dependency_links.txt
[0.734s] writing top-level names to realsense2_camera_msgs.egg-info/top_level.txt
[0.744s] reading manifest file 'realsense2_camera_msgs.egg-info/SOURCES.txt'
[0.746s] writing manifest file 'realsense2_camera_msgs.egg-info/SOURCES.txt'
[0.748s] [ 92%] Built target realsense2_camera_msgs__rosidl_typesupport_introspection_c__pyext
[0.748s] [ 96%] Built target realsense2_camera_msgs__rosidl_typesupport_fastrtps_c__pyext
[0.765s] [100%] Built target realsense2_camera_msgs__rosidl_typesupport_c__pyext
[0.854s] [100%] Built target ament_cmake_python_build_realsense2_camera_msgs_egg
[0.909s] Invoked command in '/home/orangepi/ros2_ws/build/realsense2_camera_msgs' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/orangepi/ros2_ws/build/realsense2_camera_msgs -- -j8 -l8
[0.914s] Invoking command in '/home/orangepi/ros2_ws/build/realsense2_camera_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/orangepi/ros2_ws/build/realsense2_camera_msgs
[0.943s] -- Install configuration: ""
[0.944s] -- Execute custom install script
[0.945s] -- Up-to-date symlink: /home/orangepi/ros2_ws/install/realsense2_camera_msgs/share/ament_index/resource_index/rosidl_interfaces/realsense2_camera_msgs
[0.946s] -- Up-to-date symlink: /home/orangepi/ros2_ws/install/realsense2_camera_msgs/include/realsense2_camera_msgs/realsense2_camera_msgs/msg/detail/extrinsics__functions.h
[0.947s] -- Up-to-date symlink: /home/orangepi/ros2_ws/install/realsense2_camera_msgs/include/realsense2_camera_msgs/realsense2_camera_msgs/msg/detail/extrinsics__struct.h
[0.947s] -- Up-to-date symlink: /home/orangepi/ros2_ws/install/realsense2_camera_msgs/include/realsense2_camera_msgs/realsense2_camera_msgs/msg/detail/extrinsics__type_support.h
[0.948s] -- Up-to-date symlink: /home/orangepi/ros2_ws/install/realsense2_camera_msgs/include/realsense2_camera_msgs/realsense2_camera_msgs/msg/detail/imu_info__functions.h
[0.948s] -- Up-to-date symlink: /home/orangepi/ros2_ws/install/realsense2_camera_msgs/include/realsense2_camera_msgs/realsense2_camera_msgs/msg/detail/imu_info__struct.h
